	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
1086	@dr_flyer77 Подобные меры банк принимает только при наличии веских на то оснований. Запрос документов, как и ограни… https://t.co/gv7d7uS6Cc		1.0670610803069706e+18	tinkoff_bank	Mon Nov 26 14:22:41 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543242161.0		
1087	@whinerunderhood Знаем про эту особенность, но тут ничего не поделать, к сожалению. Адрес нам поступает от платежно… https://t.co/YREVJmcPoG		1.0670609404855992e+18	tinkoff_bank	Mon Nov 26 14:22:07 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	1.0	0.0	1543242127.0		
1088	@whinerunderhood Если посмотрим на примере iPhone, то схема такая: в разделе Еще - Вход и авторизация выбираете пун… https://t.co/jl2rlwsbU8		1.0670605348670505e+18	tinkoff_bank	Mon Nov 26 14:20:31 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543242031.0		
1089	@Chudesnov Хороший вопрос. Однозначно не подскажем, возможно, в поддержку оператора? Номер кому-то принадлежит по идее.		1.0670600758928261e+18	tinkoff_bank	Mon Nov 26 14:18:41 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	1.0	0.0	1543241921.0		
1090	"@KrasotyFormula Екатерина, здравствуйте.
Как понимаем, у вас есть кредитный продукт Тинькофф. Подобные сообщения ил… https://t.co/RTLsiDf0KU"		1.0670598135851745e+18	tinkoff_bank	Mon Nov 26 14:17:39 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543241859.0		
1091	"Куда слать заявы на подобный скам?
@tinkoff_bank может, подскажете? https://t.co/SfqD5IsSKF"		1.0670586125462692e+18	Chudesnov	Mon Nov 26 14:12:52 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1.0	0.0	1543241572.0		
1092	@conor_ks А с самой карты нельзя сделать перевод, у нее есть реквизиты - номер, срок действия, CVC?		1.0670584417668219e+18	tinkoff_bank	Mon Nov 26 14:12:12 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543241532.0		
1093	@tinkoff_bank На сайте Мегафон есть возможность перевести деньги на карту любую. И берется комиссия банка-партнера.… https://t.co/Jcm3hNln8o		1.0670577848003174e+18	conor_ks	Mon Nov 26 14:09:35 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543241375.0		
1094	@chronosms1 @serenitatis Спасибо, что отметили качество сервиса и удобство продукта. Денежные средства можно получа… https://t.co/7N2WefBv2U		1.0670571201500201e+18	tinkoff_bank	Mon Nov 26 14:06:57 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543241217.0		
1095	@tinkoff_bank Обязательно Вас выберу 😎		1.0670567135918572e+18	100__suns	Mon Nov 26 14:05:20 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	0.0	1543241120.0		
