	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
2820	RT @1972Gromova: Если власти не хотят и не могут выполнять свои обязанности...прошу помощи у друзей и подписчиков https://t.co/5an8exToLA…		1.0647985100155535e+18	crowallo4ka	Tue Nov 20 08:32:02 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	52.0	1542702722.0		
2821	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.064798361381933e+18	G4xbJ8f6k0lqZ7T	Tue Nov 20 08:31:27 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542702687.0		
2822	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647978968669757e+18	fcv32	Tue Nov 20 08:29:36 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542702576.0		
2823	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647977340944179e+18	I_h8temyself	Tue Nov 20 08:28:57 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542702537.0		
2824	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647968933085102e+18	BazilChebykin	Tue Nov 20 08:25:36 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542702336.0		
2825	"Мне понравилось видео ""Меня обманул Сбербанк - встреча Минфина СССР с"		1.064796888665387e+18	lyuba_a1	Tue Nov 20 08:25:35 +0000 2018	[]	0.0	"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>"	0.0	0.0	1542702335.0		
2826	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647967389957898e+18	partytaxpayer	Tue Nov 20 08:25:00 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542702300.0		
2827	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647966295203185e+18	i666ra	Tue Nov 20 08:24:34 +0000 2018	[]	0.0	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	0.0	570.0	1542702274.0		
2828	"RT @Mikhail_Bakh: — А можно заплатить за газ натурой?

— Кто этот благородный депутат Гордумы?

— Вам майские указы по карману?

— Где обве…"		1.0647965293560955e+18	VladLime	Tue Nov 20 08:24:10 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	14.0	1542702250.0		
2829	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647961567383675e+18	agmscom	Tue Nov 20 08:22:41 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	570.0	1542702161.0		
